id/I,peaktime/F,chan/F,peakamp/F,sumadc/F,view/I,wire/S,index/I,x/F,y/F,z/F,dirx/F,diry/F,dirz/F,p/F
0,1645.01,58,16.4978,260.999,0,C:0 T:0 P:0 W:58,138,32.1748,-0.500078,16.7793,0.0796645,-0.0150893,-0.996708,0
0,1648.79,298,27.9507,465.307,1,C:0 T:0 P:1 W:58,139,32.2063,-0.506031,16.386,0.0796645,-0.0150893,-0.996708,0
0,1646.72,57,14.6228,242.994,0,C:0 T:0 P:0 W:57,140,32.212,-0.507126,16.3137,0.0769915,-0.0162565,-0.996899,0
0,1648.38,56,12.0448,198.354,0,C:0 T:0 P:0 W:56,141,32.248,-0.514728,15.8476,0.0676993,-0.0203105,-0.997499,0
0,1653.47,296,19.6427,345.148,1,C:0 T:0 P:1 W:56,142,32.2737,-0.522431,15.4693,0.0676993,-0.0203105,-0.997499,0
0,1650.67,55,11.1191,180.937,0,C:0 T:0 P:0 W:55,143,32.2799,-0.524269,15.379,0.0676993,-0.0203105,-0.997499,0
0,1654.5,295,16.4005,298.492,1,C:0 T:0 P:1 W:55,144,32.3046,-0.531707,15.0137,0.0676993,-0.0203105,-0.997499,0
0,1651.9,54,11.8576,180.632,0,C:0 T:0 P:0 W:54,145,32.3115,-0.533771,14.9123,0.0676993,-0.0203105,-0.997499,0
0,1658.34,294,19.468,351.603,1,C:0 T:0 P:1 W:54,146,32.3359,-0.541081,14.5533,0.0676993,-0.0203105,-0.997499,0
0,1653.98,53,12.5222,201.562,0,C:0 T:0 P:0 W:53,147,32.3433,-0.543305,14.4441,0.0676993,-0.0203105,-0.997499,0
0,1657.97,293,16.2468,289.323,1,C:0 T:0 P:1 W:53,148,32.3666,-0.550308,14.1001,0.0676993,-0.0203105,-0.997499,0
0,1655.6,52,12.2766,194.918,0,C:0 T:0 P:0 W:52,149,32.375,-0.552821,13.9767,0.0676993,-0.0203105,-0.997499,0
0,1659.3,292,17.0723,298.381,1,C:0 T:0 P:1 W:52,150,32.3976,-0.559595,13.644,0.0676993,-0.0203105,-0.997499,0
0,1656.39,51,12.8749,213.206,0,C:0 T:0 P:0 W:51,151,32.4066,-0.562307,13.5108,0.0676993,-0.0203105,-0.997499,0
0,1660.6,291,21.8411,344.892,1,C:0 T:0 P:1 W:51,152,32.4286,-0.56888,13.188,0.0676993,-0.0203105,-0.997499,0
0,1658.34,50,12.6971,207.248,0,C:0 T:0 P:0 W:50,153,32.4384,-0.571836,13.0429,0.0676993,-0.0203105,-0.997499,0
0,1661.66,290,19.2051,335.732,1,C:0 T:0 P:1 W:50,154,32.4595,-0.578157,12.7324,0.0676993,-0.0203105,-0.997499,0
0,1659.56,49,12.135,189.278,0,C:0 T:0 P:0 W:49,155,32.4701,-0.581338,12.5762,0.0676993,-0.0203105,-0.997499,0
0,1665.96,289,20.417,360.106,1,C:0 T:0 P:1 W:49,156,32.4908,-0.587548,12.2712,0.0676993,-0.0203105,-0.997499,0
0,1661.55,48,11.9482,195.987,0,C:0 T:0 P:0 W:48,157,32.5018,-0.590868,12.1081,0.0676993,-0.0203105,-0.997499,0
0,1667.04,288,17.0676,311.903,1,C:0 T:0 P:1 W:48,158,32.5217,-0.596826,11.8155,0.0676993,-0.0203105,-0.997499,0
0,1664.43,47,12.5739,197.288,0,C:0 T:0 P:0 W:47,159,32.5337,-0.600431,11.6385,0.0676993,-0.0203105,-0.997499,0
0,1659.9,287,13.7865,232.839,1,C:0 T:0 P:1 W:47,160,32.5517,-0.605815,11.3741,0.0670839,-0.0152899,-0.99763,0
0,1665.9,46,11.3666,173.959,0,C:0 T:0 P:0 W:46,161,32.5653,-0.608912,11.172,0.0664317,-0.00998482,-0.997741,0
0,1668.24,286,14.6159,294.357,1,C:0 T:0 P:1 W:46,162,32.5831,-0.611597,10.9037,0.0664317,-0.00998482,-0.997741,0
0,1667.82,45,10.9928,171.859,0,C:0 T:0 P:0 W:45,163,32.5962,-0.613568,10.7068,0.0664317,-0.00998482,-0.997741,0
0,1668.64,285,18.2405,320.305,1,C:0 T:0 P:1 W:45,164,32.6136,-0.616173,10.4464,0.0664317,-0.00998482,-0.997741,0
0,1669.23,44,11.4662,186.876,0,C:0 T:0 P:0 W:44,165,32.6271,-0.618214,10.2425,0.0664317,-0.00998482,-0.997741,0
